date,blood_group,donation_supply,day_of_week,month,time_idx,estimated_demand
2020-11-24,O-,0,1,11,16,0.08
2020-11-25,A+,0,2,11,17,0.16
2020-11-25,A-,0,2,11,17,0.0
2020-11-25,AB+,0,2,11,17,0.0
2020-11-25,AB-,0,2,11,17,0.0
2020-11-25,B+,0,2,11,17,0.08
2020-11-25,B-,0,2,11,17,0.0
2020-11-25,O+,2,2,11,17,0.17
2020-11-25,O-,0,2,11,17,0.09
2020-11-26,A+,0,3,11,18,0.17
2020-11-26,A-,0,3,11,18,0.01
2020-11-26,AB+,0,3,11,18,0.01
2020-11-26,AB-,0,3,11,18,0.01
2020-11-26,B+,0,3,11,18,0.09
2020-11-26,B-,0,3,11,18,0.0
2020-11-26,O+,0,3,11,18,0.16
2020-11-26,O-,0,3,11,18,0.08
2020-11-27,A+,0,4,11,19,0.16
2020-11-27,A-,0,4,11,19,0.0
2020-11-27,AB+,0,4,11,19,0.0
2020-11-27,AB-,0,4,11,19,0.0
2020-11-27,B+,0,4,11,19,0.08
2020-11-27,B-,0,4,11,19,0.0
2020-11-27,O+,0,4,11,19,0.16
2020-11-27,O-,0,4,11,19,0.0
2020-11-28,A+,0,5,11,20,0.16
2020-11-28,A-,0,5,11,20,0.0
2020-11-28,AB+,0,5,11,20,0.0
2020-11-28,AB-,0,5,11,20,0.0
2020-11-28,B+,0,5,11,20,0.08
2020-11-28,B-,0,5,11,20,0.0
2020-11-28,O+,0,5,11,20,0.16
2020-11-28,O-,0,5,11,20,0.0
2020-11-29,A+,0,6,11,21,0.08
2020-11-29,A-,0,6,11,21,0.0
2020-11-29,AB+,0,6,11,21,0.0
2020-11-29,AB-,0,6,11,21,0.0
2020-11-29,B+,0,6,11,21,0.08
2020-11-29,B-,0,6,11,21,0.0
2020-11-29,O+,0,6,11,21,0.16
2020-11-29,O-,0,6,11,21,0.0
2020-11-30,A+,0,0,11,22,0.08
2020-11-30,A-,0,0,11,22,0.0
2020-11-30,AB+,0,0,11,22,0.0
2020-11-30,AB-,0,0,11,22,0.0
2020-11-30,B+,0,0,11,22,0.0
2020-11-30,B-,0,0,11,22,0.0
2020-11-30,O+,0,0,11,22,0.16
2020-11-30,O-,0,0,11,22,0.0
2020-12-01,A+,0,1,12,23,0.08
2020-12-01,A-,0,1,12,23,0.0
2020-12-01,AB+,0,1,12,23,0.0
2020-12-01,AB-,0,1,12,23,0.0
2020-12-01,B+,0,1,12,23,0.0
2020-12-01,B-,0,1,12,23,0.0
2020-12-01,O+,0,1,12,23,0.16
2020-12-01,O-,0,1,12,23,0.0
2020-12-02,A+,0,2,12,24,0.08
2020-12-02,A-,0,2,12,24,0.0
2020-12-02,AB+,0,2,12,24,0.0
2020-12-02,AB-,0,2,12,24,0.0
2020-12-02,B+,0,2,12,24,0.0
2020-12-02,B-,0,2,12,24,0.0
2020-12-02,O+,0,2,12,24,0.16
2020-12-02,O-,0,2,12,24,0.0
2020-12-03,A+,0,3,12,25,0.08
2020-12-03,A-,0,3,12,25,0.0
2020-12-03,AB+,0,3,12,25,0.0
2020-12-03,AB-,0,3,12,25,0.0
2020-12-03,B+,0,3,12,25,0.0
2020-12-03,B-,0,3,12,25,0.0
2020-12-03,O+,0,3,12,25,0.16
2020-12-03,O-,0,3,12,25,0.0
2020-12-04,A+,0,4,12,26,0.08
2020-12-04,A-,0,4,12,26,0.0
2020-12-04,AB+,0,4,12,26,0.0
2020-12-04,AB-,0,4,12,26,0.0
2020-12-04,B+,0,4,12,26,0.0
2020-12-04,B-,0,4,12,26,0.0
2020-12-04,O+,0,4,12,26,0.16
2020-12-04,O-,0,4,12,26,0.0
2020-12-05,A+,0,5,12,27,0.08
2020-12-05,A-,0,5,12,27,0.0
2020-12-05,AB+,0,5,12,27,0.0
2020-12-05,AB-,0,5,12,27,0.0
2020-12-05,B+,0,5,12,27,0.0
2020-12-05,B-,0,5,12,27,0.0
2020-12-05,O+,0,5,12,27,0.16
2020-12-05,O-,0,5,12,27,0.0
2020-12-06,A+,0,6,12,28,0.08
2020-12-06,A-,0,6,12,28,0.0
2020-12-06,AB+,0,6,12,28,0.0
2020-12-06,AB-,0,6,12,28,0.0
2020-12-06,B+,0,6,12,28,0.0
2020-12-06,B-,0,6,12,28,0.0
2020-12-06,O+,0,6,12,28,0.16
2020-12-06,O-,0,6,12,28,0.0
2020-12-07,A+,0,0,12,29,0.0
2020-12-07,A-,0,0,12,29,0.0
2020-12-07,AB+,0,0,12,29,0.0
2020-12-07,AB-,0,0,12,29,0.0
2020-12-07,B+,0,0,12,29,0.0
2020-12-07,B-,0,0,12,29,0.0
2020-12-07,O+,0,0,12,29,0.16
2020-12-07,O-,0,0,12,29,0.0
2020-12-08,A+,0,1,12,30,0.0
2020-12-08,A-,0,1,12,30,0.0
2020-12-08,AB+,0,1,12,30,0.0
2020-12-08,AB-,0,1,12,30,0.0
2020-12-08,B+,1,1,12,30,0.09
2020-12-08,B-,0,1,12,30,0.01
2020-12-08,O+,1,1,12,30,0.25
2020-12-08,O-,0,1,12,30,0.01
2020-12-09,A+,0,2,12,31,0.01
2020-12-09,A-,0,2,12,31,0.01
2020-12-09,AB+,0,2,12,31,0.01
2020-12-09,AB-,0,2,12,31,0.01
2020-12-09,B+,0,2,12,31,0.09
2020-12-09,B-,0,2,12,31,0.0
2020-12-09,O+,0,2,12,31,0.08
2020-12-09,O-,0,2,12,31,0.0
2020-12-10,A+,0,3,12,32,0.0
2020-12-10,A-,0,3,12,32,0.0
2020-12-10,AB+,0,3,12,32,0.0
2020-12-10,AB-,0,3,12,32,0.0
2020-12-10,B+,0,3,12,32,0.08
2020-12-10,B-,0,3,12,32,0.0
2020-12-10,O+,0,3,12,32,0.08
2020-12-10,O-,0,3,12,32,0.0
2020-12-11,A+,0,4,12,33,0.0
2020-12-11,A-,0,4,12,33,0.0
2020-12-11,AB+,0,4,12,33,0.0
2020-12-11,AB-,0,4,12,33,0.0
2020-12-11,B+,0,4,12,33,0.08
2020-12-11,B-,0,4,12,33,0.0
2020-12-11,O+,0,4,12,33,0.08
2020-12-11,O-,0,4,12,33,0.0
2020-12-12,A+,1,5,12,34,0.09
2020-12-12,A-,0,5,12,34,0.01
2020-12-12,AB+,0,5,12,34,0.01
2020-12-12,AB-,0,5,12,34,0.01
2020-12-12,B+,0,5,12,34,0.09
2020-12-12,B-,0,5,12,34,0.01
2020-12-12,O+,0,5,12,34,0.09
2020-12-12,O-,0,5,12,34,0.0
2020-12-13,A+,0,6,12,35,0.08
2020-12-13,A-,0,6,12,35,0.0
2020-12-13,AB+,1,6,12,35,0.09
2020-12-13,AB-,0,6,12,35,0.01
2020-12-13,B+,0,6,12,35,0.09
2020-12-13,B-,0,6,12,35,0.01
2020-12-13,O+,0,6,12,35,0.09
2020-12-13,O-,0,6,12,35,0.01
2020-12-14,A+,0,0,12,36,0.09
2020-12-14,A-,0,0,12,36,0.0
2020-12-14,AB+,0,0,12,36,0.08
2020-12-14,AB-,0,0,12,36,0.0
2020-12-14,B+,0,0,12,36,0.08
2020-12-14,B-,0,0,12,36,0.0
2020-12-14,O+,0,0,12,36,0.08
2020-12-14,O-,0,0,12,36,0.0
2020-12-15,A+,0,1,12,37,0.08
2020-12-15,A-,0,1,12,37,0.0
2020-12-15,AB+,0,1,12,37,0.08
2020-12-15,AB-,0,1,12,37,0.0
2020-12-15,B+,0,1,12,37,0.08
2020-12-15,B-,0,1,12,37,0.0
2020-12-15,O+,0,1,12,37,0.08
2020-12-15,O-,0,1,12,37,0.0
2020-12-16,A+,0,2,12,38,0.08
2020-12-16,A-,0,2,12,38,0.0
2020-12-16,AB+,0,2,12,38,0.08
2020-12-16,AB-,0,2,12,38,0.0
2020-12-16,B+,0,2,12,38,0.08
2020-12-16,B-,0,2,12,38,0.0
2020-12-16,O+,0,2,12,38,0.08
2020-12-16,O-,0,2,12,38,0.0
2020-12-17,A+,0,3,12,39,0.08
2020-12-17,A-,0,3,12,39,0.0
2020-12-17,AB+,0,3,12,39,0.08
2020-12-17,AB-,0,3,12,39,0.0
2020-12-17,B+,0,3,12,39,0.08
2020-12-17,B-,0,3,12,39,0.0
2020-12-17,O+,0,3,12,39,0.08
2020-12-17,O-,0,3,12,39,0.0
2020-12-18,A+,0,4,12,40,0.08
2020-12-18,A-,0,4,12,40,0.0
2020-12-18,AB+,1,4,12,40,0.16
2020-12-18,AB-,0,4,12,40,0.01
2020-12-18,B+,2,4,12,40,0.26
2020-12-18,B-,0,4,12,40,0.02
2020-12-18,O+,0,4,12,40,0.1
2020-12-18,O-,0,4,12,40,0.02
2020-12-19,A+,0,5,12,41,0.1
2020-12-19,A-,0,5,12,41,0.01
2020-12-19,AB+,0,5,12,41,0.17
2020-12-19,AB-,0,5,12,41,0.0
2020-12-19,B+,0,5,12,41,0.24
2020-12-19,B-,0,5,12,41,0.0
2020-12-19,O+,0,5,12,41,0.08
2020-12-19,O-,0,5,12,41,0.0
2020-12-20,A+,0,6,12,42,0.08
2020-12-20,A-,0,6,12,42,0.0
2020-12-20,AB+,0,6,12,42,0.16
2020-12-20,AB-,0,6,12,42,0.0
2020-12-20,B+,0,6,12,42,0.24
2020-12-20,B-,0,6,12,42,0.0
2020-12-20,O+,1,6,12,42,0.16
2020-12-20,O-,0,6,12,42,0.01
2020-12-21,A+,0,0,12,43,0.09
2020-12-21,A-,0,0,12,43,0.01
2020-12-21,AB+,0,0,12,43,0.16
2020-12-21,AB-,0,0,12,43,0.01
2020-12-21,B+,0,0,12,43,0.24
2020-12-21,B-,0,0,12,43,0.0
2020-12-21,O+,0,0,12,43,0.16
2020-12-21,O-,0,0,12,43,0.0
2020-12-22,A+,0,1,12,44,0.08
2020-12-22,A-,0,1,12,44,0.0
2020-12-22,AB+,0,1,12,44,0.16
2020-12-22,AB-,0,1,12,44,0.0
2020-12-22,B+,0,1,12,44,0.16
2020-12-22,B-,0,1,12,44,0.0
2020-12-22,O+,0,1,12,44,0.08
2020-12-22,O-,0,1,12,44,0.0
2020-12-23,A+,0,2,12,45,0.08
2020-12-23,A-,0,2,12,45,0.0
2020-12-23,AB+,0,2,12,45,0.16
2020-12-23,AB-,0,2,12,45,0.0
2020-12-23,B+,1,2,12,45,0.24
2020-12-23,B-,0,2,12,45,0.01
2020-12-23,O+,1,2,12,45,0.17
2020-12-23,O-,0,2,12,45,0.01
2020-12-24,A+,0,3,12,46,0.09
2020-12-24,A-,0,3,12,46,0.01
2020-12-24,AB+,0,3,12,46,0.17
2020-12-24,AB-,0,3,12,46,0.01
2020-12-24,B+,0,3,12,46,0.24
2020-12-24,B-,0,3,12,46,0.0
2020-12-24,O+,0,3,12,46,0.16
2020-12-24,O-,0,3,12,46,0.0
2020-12-25,A+,0,4,12,47,0.08
2020-12-25,A-,0,4,12,47,0.0
2020-12-25,AB+,0,4,12,47,0.16
2020-12-25,AB-,0,4,12,47,0.0
2020-12-25,B+,0,4,12,47,0.24
2020-12-25,B-,0,4,12,47,0.0
2020-12-25,O+,0,4,12,47,0.16
2020-12-25,O-,0,4,12,47,0.0
2020-12-26,A+,0,5,12,48,0.0
2020-12-26,A-,0,5,12,48,0.0
2020-12-26,AB+,0,5,12,48,0.16
2020-12-26,AB-,0,5,12,48,0.0
2020-12-26,B+,0,5,12,48,0.24
2020-12-26,B-,0,5,12,48,0.0
2020-12-26,O+,0,5,12,48,0.16
2020-12-26,O-,0,5,12,48,0.0
2020-12-27,A+,0,6,12,49,0.0
2020-12-27,A-,0,6,12,49,0.0
2020-12-27,AB+,0,6,12,49,0.08
2020-12-27,AB-,0,6,12,49,0.0
2020-12-27,B+,0,6,12,49,0.24
2020-12-27,B-,0,6,12,49,0.0
2020-12-27,O+,0,6,12,49,0.16
2020-12-27,O-,0,6,12,49,0.0
2020-12-28,A+,0,0,12,50,0.0
2020-12-28,A-,0,0,12,50,0.0
2020-12-28,AB+,0,0,12,50,0.08
2020-12-28,AB-,0,0,12,50,0.0
2020-12-28,B+,0,0,12,50,0.24
2020-12-28,B-,0,0,12,50,0.0
2020-12-28,O+,0,0,12,50,0.16
2020-12-28,O-,0,0,12,50,0.0
2020-12-29,A+,0,1,12,51,0.0
2020-12-29,A-,0,1,12,51,0.0
2020-12-29,AB+,0,1,12,51,0.08
2020-12-29,AB-,0,1,12,51,0.0
2020-12-29,B+,0,1,12,51,0.24
2020-12-29,B-,0,1,12,51,0.0
2020-12-29,O+,0,1,12,51,0.16
2020-12-29,O-,0,1,12,51,0.0
2020-12-30,A+,0,2,12,52,0.0
2020-12-30,A-,0,2,12,52,0.0
2020-12-30,AB+,0,2,12,52,0.08
2020-12-30,AB-,0,2,12,52,0.0
2020-12-30,B+,0,2,12,52,0.24
2020-12-30,B-,0,2,12,52,0.0
2020-12-30,O+,0,2,12,52,0.16
2020-12-30,O-,0,2,12,52,0.0
2020-12-31,A+,0,3,12,53,0.0
2020-12-31,A-,0,3,12,53,0.0
2020-12-31,AB+,0,3,12,53,0.08
2020-12-31,AB-,0,3,12,53,0.0
2020-12-31,B+,0,3,12,53,0.24
2020-12-31,B-,0,3,12,53,0.0
2020-12-31,O+,0,3,12,53,0.16
2020-12-31,O-,0,3,12,53,0.0
2021-01-01,A+,0,4,1,54,0.0
2021-01-01,A-,0,4,1,54,0.0
2021-01-01,AB+,0,4,1,54,0.0
2021-01-01,AB-,0,4,1,54,0.0
2021-01-01,B+,0,4,1,54,0.08
2021-01-01,B-,0,4,1,54,0.0
2021-01-01,O+,0,4,1,54,0.16
2021-01-01,O-,0,4,1,54,0.0
2021-01-02,A+,0,5,1,55,0.0
2021-01-02,A-,0,5,1,55,0.0
2021-01-02,AB+,0,5,1,55,0.0
2021-01-02,AB-,0,5,1,55,0.0
2021-01-02,B+,0,5,1,55,0.08
2021-01-02,B-,0,5,1,55,0.0
2021-01-02,O+,0,5,1,55,0.16
2021-01-02,O-,0,5,1,55,0.0
2021-01-03,A+,0,6,1,56,0.0
2021-01-03,A-,0,6,1,56,0.0
2021-01-03,AB+,0,6,1,56,0.0
2021-01-03,AB-,0,6,1,56,0.0
2021-01-03,B+,0,6,1,56,0.08
2021-01-03,B-,0,6,1,56,0.0
2021-01-03,O+,0,6,1,56,0.08
2021-01-03,O-,0,6,1,56,0.0
2021-01-04,A+,0,0,1,57,0.0
2021-01-04,A-,0,0,1,57,0.0
2021-01-04,AB+,0,0,1,57,0.0
2021-01-04,AB-,0,0,1,57,0.0
2021-01-04,B+,0,0,1,57,0.08
2021-01-04,B-,0,0,1,57,0.0
2021-01-04,O+,0,0,1,57,0.08
2021-01-04,O-,0,0,1,57,0.0
2021-01-05,A+,0,1,1,58,0.0
2021-01-05,A-,0,1,1,58,0.0
2021-01-05,AB+,0,1,1,58,0.0
2021-01-05,AB-,0,1,1,58,0.0
2021-01-05,B+,1,1,1,58,0.16
2021-01-05,B-,0,1,1,58,0.01
2021-01-05,O+,0,1,1,58,0.09
2021-01-05,O-,0,1,1,58,0.01
2021-01-06,A+,0,2,1,59,0.01
2021-01-06,A-,0,2,1,59,0.01
2021-01-06,AB+,0,2,1,59,0.01
2021-01-06,AB-,0,2,1,59,0.0
2021-01-06,B+,0,2,1,59,0.08
2021-01-06,B-,0,2,1,59,0.0
2021-01-06,O+,1,2,1,59,0.09
2021-01-06,O-,0,2,1,59,0.01
2021-01-07,A+,0,3,1,60,0.01
2021-01-07,A-,0,3,1,60,0.01
2021-01-07,AB+,0,3,1,60,0.01
2021-01-07,AB-,0,3,1,60,0.01
2021-01-07,B+,1,3,1,60,0.17
2021-01-07,B-,0,3,1,60,0.01
2021-01-07,O+,0,3,1,60,0.09
2021-01-07,O-,0,3,1,60,0.01
2021-01-08,A+,0,4,1,61,0.01
2021-01-08,A-,0,4,1,61,0.01
2021-01-08,AB+,0,4,1,61,0.01
2021-01-08,AB-,0,4,1,61,0.0
2021-01-08,B+,0,4,1,61,0.16
2021-01-08,B-,0,4,1,61,0.0
2021-01-08,O+,0,4,1,61,0.08
2021-01-08,O-,0,4,1,61,0.0
2021-01-09,A+,0,5,1,62,0.0
2021-01-09,A-,0,5,1,62,0.0
2021-01-09,AB+,0,5,1,62,0.0
2021-01-09,AB-,0,5,1,62,0.0
2021-01-09,B+,1,5,1,62,0.24
2021-01-09,B-,0,5,1,62,0.01
2021-01-09,O+,2,5,1,62,0.26
2021-01-09,O-,0,5,1,62,0.02
2021-01-10,A+,0,6,1,63,0.02
2021-01-10,A-,0,6,1,63,0.02
2021-01-10,AB+,0,6,1,63,0.02
2021-01-10,AB-,0,6,1,63,0.01
2021-01-10,B+,1,6,1,63,0.34
2021-01-10,B-,0,6,1,63,0.01
2021-01-10,O+,0,6,1,63,0.24
2021-01-10,O-,0,6,1,63,0.01
2021-01-11,A+,0,0,1,64,0.01
2021-01-11,A-,0,0,1,64,0.01
2021-01-11,AB+,0,0,1,64,0.01
2021-01-11,AB-,0,0,1,64,0.0
2021-01-11,B+,0,0,1,64,0.31
2021-01-11,B-,0,0,1,64,0.0
2021-01-11,O+,0,0,1,64,0.24
2021-01-11,O-,1,0,1,64,0.09
2021-01-12,A+,0,1,1,65,0.01
2021-01-12,A-,0,1,1,65,0.01
2021-01-12,AB+,0,1,1,65,0.01
2021-01-12,AB-,0,1,1,65,0.01
2021-01-12,B+,0,1,1,65,0.32
2021-01-12,B-,0,1,1,65,0.01
2021-01-12,O+,1,1,1,65,0.32
2021-01-12,O-,0,1,1,65,0.09
2021-01-13,A+,0,2,1,66,0.01
2021-01-13,A-,0,2,1,66,0.01
2021-01-13,AB+,0,2,1,66,0.01
2021-01-13,AB-,0,2,1,66,0.01
2021-01-13,B+,0,2,1,66,0.32
2021-01-13,B-,0,2,1,66,0.0
2021-01-13,O+,0,2,1,66,0.31
2021-01-13,O-,0,2,1,66,0.08
2021-01-14,A+,0,3,1,67,0.0
2021-01-14,A-,0,3,1,67,0.0
2021-01-14,AB+,0,3,1,67,0.0
2021-01-14,AB-,0,3,1,67,0.0
2021-01-14,B+,0,3,1,67,0.31
2021-01-14,B-,0,3,1,67,0.0
2021-01-14,O+,0,3,1,67,0.31
2021-01-14,O-,0,3,1,67,0.08
2021-01-15,A+,0,4,1,68,0.0
2021-01-15,A-,0,4,1,68,0.0
2021-01-15,AB+,0,4,1,68,0.0
2021-01-15,AB-,0,4,1,68,0.0
2021-01-15,B+,0,4,1,68,0.31
2021-01-15,B-,0,4,1,68,0.0
2021-01-15,O+,1,4,1,68,0.4
2021-01-15,O-,0,4,1,68,0.09
2021-01-16,A+,0,5,1,69,0.01
2021-01-16,A-,0,5,1,69,0.01
2021-01-16,AB+,0,5,1,69,0.01
2021-01-16,AB-,0,5,1,69,0.01
2021-01-16,B+,1,5,1,69,0.41
2021-01-16,B-,0,5,1,69,0.01
2021-01-16,O+,0,5,1,69,0.4
2021-01-16,O-,0,5,1,69,0.09
2021-01-17,A+,0,6,1,70,0.01
2021-01-17,A-,0,6,1,70,0.01
2021-01-17,AB+,0,6,1,70,0.01
2021-01-17,AB-,0,6,1,70,0.0
2021-01-17,B+,1,6,1,70,0.48
2021-01-17,B-,0,6,1,70,0.01
2021-01-17,O+,0,6,1,70,0.4
2021-01-17,O-,0,6,1,70,0.09
2021-01-18,A+,0,0,1,71,0.01
2021-01-18,A-,0,0,1,71,0.01
2021-01-18,AB+,0,0,1,71,0.01
2021-01-18,AB-,0,0,1,71,0.0
2021-01-18,B+,0,0,1,71,0.47
2021-01-18,B-,0,0,1,71,0.0
2021-01-18,O+,0,0,1,71,0.39
2021-01-18,O-,0,0,1,71,0.08
2021-01-19,A+,0,1,1,72,0.0
2021-01-19,A-,0,1,1,72,0.0
2021-01-19,AB+,0,1,1,72,0.0
2021-01-19,AB-,0,1,1,72,0.0
2021-01-19,B+,0,1,1,72,0.39
2021-01-19,B-,0,1,1,72,0.0
2021-01-19,O+,1,1,1,72,0.48
2021-01-19,O-,0,1,1,72,0.09
2021-01-20,A+,0,2,1,73,0.01
2021-01-20,A-,0,2,1,73,0.01
2021-01-20,AB+,0,2,1,73,0.01
2021-01-20,AB-,0,2,1,73,0.01
2021-01-20,B+,0,2,1,73,0.4
2021-01-20,B-,0,2,1,73,0.0
2021-01-20,O+,0,2,1,73,0.39
2021-01-20,O-,0,2,1,73,0.08
2021-01-21,A+,0,3,1,74,0.0
2021-01-21,A-,0,3,1,74,0.0
2021-01-21,AB+,0,3,1,74,0.0
2021-01-21,AB-,0,3,1,74,0.0
2021-01-21,B+,0,3,1,74,0.31
2021-01-21,B-,0,3,1,74,0.0
2021-01-21,O+,0,3,1,74,0.39
2021-01-21,O-,0,3,1,74,0.08
2021-01-22,A+,1,4,1,75,0.09
2021-01-22,A-,0,4,1,75,0.01
2021-01-22,AB+,0,4,1,75,0.01
2021-01-22,AB-,0,4,1,75,0.01
2021-01-22,B+,0,4,1,75,0.32
2021-01-22,B-,0,4,1,75,0.01
2021-01-22,O+,0,4,1,75,0.4
2021-01-22,O-,0,4,1,75,0.08
2021-01-23,A+,1,5,1,76,0.16
2021-01-23,A-,0,5,1,76,0.01
2021-01-23,AB+,0,5,1,76,0.01
2021-01-23,AB-,0,5,1,76,0.01
2021-01-23,B+,0,5,1,76,0.24
2021-01-23,B-,0,5,1,76,0.01
2021-01-23,O+,0,5,1,76,0.24
2021-01-23,O-,0,5,1,76,0.08
2021-01-24,A+,0,6,1,77,0.16
2021-01-24,A-,0,6,1,77,0.0
2021-01-24,AB+,0,6,1,77,0.0
2021-01-24,AB-,0,6,1,77,0.0
2021-01-24,B+,0,6,1,77,0.16
2021-01-24,B-,0,6,1,77,0.0
2021-01-24,O+,0,6,1,77,0.24
2021-01-24,O-,0,6,1,77,0.08
2021-01-25,A+,0,0,1,78,0.16
2021-01-25,A-,0,0,1,78,0.0
